score,factor,type,value,association,n
pgic_result,gender,categorical,weiblich,-0.015403055704734214,339
pgic_result,birthyear,numeric,,-0.07571458610476288,379
pgic_result,weight,numeric,,0.01090456950097259,379
pgic_result,pregnant,categorical,nein,0.01082490518331225,336
pgic_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,0.02819283079928292,181
pgic_result,highest_degree,categorical,Fachhochschulreife,0.08702237857910688,54
pgic_result,highest_degree,categorical,Hauptschulabschluss,-0.33445910290237446,25
pgic_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-0.013103170698984812,118
pgic_result,family_status,categorical,geschieden,-0.5308227392660108,33
pgic_result,family_status,categorical,ledig,-0.14445910290237451,148
pgic_result,family_status,categorical,sonstiger,0.9626837542404822,14
pgic_result,family_status,categorical,verheiratet,0.13850793006465834,182
pgic_result,current_employed,categorical,ja,-0.086017544460816,308
pgic_result,current_employed,categorical,nein,0.3731465309004425,71
pgic_result,working_hours_model,categorical,Teilzeit,0.09822510822510822,150
pgic_result,working_hours_model,categorical,Vollzeit,-0.09325168502383718,158
pgic_result,shiftwork,categorical,ja,0.01764539808018073,23
pgic_result,shiftwork,categorical,nein,-0.0014240145819095495,285
pgic_result,working_hours_reduced,categorical,False,-0.04044450436222835,274
pgic_result,working_hours_reduced,categorical,True,0.10554089709762549,105
pgic_result,children,numeric,,0.0768843977173084,188
pgic_result,headache_days_per_month,numeric,,0.3539962652430695,379
pgic_result,headache_days_severe_per_month,numeric,,0.2623013447478357,379
pgic_result,days_medication,numeric,,0.3024130645121509,379
pgic_result,intensity,numeric,,0.16070513335649816,379
pgic_result,days_lost_work,numeric,,0.19555784130907894,379
pgic_result,days_lost_household,numeric,,0.247632659563616,379
pgic_result,days_doctor,numeric,,0.17367945801458387,379
pgic_result,days_ER,binary,,0.056129091142433224,379
pgic_result,days_hospital,numeric,,0.06273148583639142,379
dass_depression,gender,categorical,männlich,0.32179023508137483,35
dass_depression,gender,categorical,weiblich,-0.040080634262804615,281
dass_depression,birthyear,numeric,,-0.06918909513338649,316
dass_depression,weight,numeric,,0.0803763183969381,316
dass_depression,pregnant,categorical,nein,0.033557305651553904,277
dass_depression,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.39748109761277695,149
dass_depression,highest_degree,categorical,Fachhochschulreife,0.5944092827004219,48
dass_depression,highest_degree,categorical,Hauptschulabschluss,0.688707528314457,19
dass_depression,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.18153049482163475,99
dass_depression,family_status,categorical,geschieden,0.7789330922242321,35
dass_depression,family_status,categorical,ledig,-0.1931923433158378,123
dass_depression,family_status,categorical,verheiratet,-0.1156019029819042,149
dass_depression,current_employed,categorical,ja,-0.5084107426481204,263
dass_depression,current_employed,categorical,nein,2.522868402197277,53
dass_depression,working_hours_model,categorical,Teilzeit,-0.04155981961269761,129
dass_depression,working_hours_model,categorical,Vollzeit,0.04000908007491066,134
dass_depression,shiftwork,categorical,ja,0.26213375083873824,17
dass_depression,shiftwork,categorical,nein,-0.01811493400105091,246
dass_depression,working_hours_reduced,categorical,False,-0.439145289570964,226
dass_depression,working_hours_reduced,categorical,True,1.1027426160337557,90
dass_depression,children,numeric,,0.045344472289383396,151
dass_depression,headache_days_per_month,numeric,,0.2997384949771055,316
dass_depression,headache_days_severe_per_month,numeric,,0.33816126917974176,316
dass_depression,days_medication,numeric,,0.12212227804790318,316
dass_depression,intensity,numeric,,0.21494644854761613,316
dass_depression,days_lost_work,numeric,,0.2856850180762449,316
dass_depression,days_lost_household,numeric,,0.3529093370983603,316
dass_depression,days_doctor,numeric,,0.2548379762432203,316
dass_depression,days_ER,numeric,,0.08236460352273867,316
dass_depression,days_hospital,numeric,,0.09960084968020365,316
dass_fear,gender,categorical,männlich,-0.03128390596745012,35
dass_fear,gender,categorical,weiblich,0.0038965719176542457,281
dass_fear,birthyear,numeric,,-0.03741335702833519,316
dass_fear,weight,numeric,,0.0775644962081164,316
dass_fear,pregnant,categorical,nein,0.009378573172141635,277
dass_fear,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.6690595531390704,149
dass_fear,highest_degree,categorical,Fachhochschulreife,0.9377637130801686,48
dass_fear,highest_degree,categorical,Hauptschulabschluss,1.117588274483678,19
dass_fear,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.3291778544943105,99
dass_fear,family_status,categorical,geschieden,1.4544303797468352,35
dass_fear,family_status,categorical,ledig,-0.12930945765153856,123
dass_fear,family_status,categorical,verheiratet,-0.32006626454846643,149
dass_fear,current_employed,categorical,ja,-0.2976608750060161,263
dass_fear,current_employed,categorical,nein,1.477071889180798,53
dass_fear,working_hours_model,categorical,Teilzeit,0.12883544079936327,129
dass_fear,working_hours_model,categorical,Vollzeit,-0.12402814823222297,134
dass_fear,shiftwork,categorical,ja,1.446208901811675,17
dass_fear,shiftwork,categorical,nein,-0.0999412655723515,246
dass_fear,working_hours_reduced,categorical,False,-0.36238377954519985,226
dass_fear,working_hours_reduced,categorical,True,0.9099859353023909,90
dass_fear,children,numeric,,-0.052530153558075124,151
dass_fear,headache_days_per_month,numeric,,0.1828329258686218,316
dass_fear,headache_days_severe_per_month,numeric,,0.20568936336052768,316
dass_fear,days_medication,numeric,,0.032761436975267365,316
dass_fear,intensity,numeric,,0.16406761886408108,316
dass_fear,days_lost_work,numeric,,0.2467927484749511,316
dass_fear,days_lost_household,numeric,,0.27502303030686276,316
dass_fear,days_doctor,numeric,,0.16039156278834601,316
dass_fear,days_ER,numeric,,0.10310559664943515,316
dass_fear,days_hospital,numeric,,0.059387761450133296,316
dass_stress,gender,categorical,männlich,0.4050632911392409,35
dass_stress,gender,categorical,weiblich,-0.050452723095634866,281
dass_stress,birthyear,numeric,,-0.06273265189854625,316
dass_stress,weight,numeric,,0.09953794788774256,316
dass_stress,pregnant,categorical,nein,0.01869290954173497,277
dass_stress,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.8566816753037125,149
dass_stress,highest_degree,categorical,Fachhochschulreife,2.050896624472575,48
dass_stress,highest_degree,categorical,Hauptschulabschluss,1.1419053964023984,19
dass_stress,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.07172995780590785,99
dass_stress,family_status,categorical,geschieden,0.8622061482820982,35
dass_stress,family_status,categorical,ledig,-0.21282288772254798,123
dass_stress,family_status,categorical,verheiratet,-0.12513805114263832,149
dass_stress,current_employed,categorical,ja,-0.42763632863262213,263
dass_stress,current_employed,categorical,nein,2.122044423214712,53
dass_stress,working_hours_model,categorical,Teilzeit,0.11952132519821923,129
dass_stress,working_hours_model,categorical,Vollzeit,-0.11506157425798769,134
dass_stress,shiftwork,categorical,ja,1.5385819727130396,17
dass_stress,shiftwork,categorical,nein,-0.10632477047203981,246
dass_stress,working_hours_reduced,categorical,False,-0.6303349389492547,226
dass_stress,working_hours_reduced,categorical,True,1.582841068917018,90
dass_stress,children,numeric,,-0.02203248406916584,151
dass_stress,headache_days_per_month,numeric,,0.23153506229461454,316
dass_stress,headache_days_severe_per_month,numeric,,0.323133607526899,316
dass_stress,days_medication,numeric,,0.08897157075009739,316
dass_stress,intensity,numeric,,0.2536984010572252,316
dass_stress,days_lost_work,numeric,,0.26939995418461676,316
dass_stress,days_lost_household,numeric,,0.33725935016212505,316
dass_stress,days_doctor,numeric,,0.2079887358179415,316
dass_stress,days_ER,numeric,,0.13248458305905084,316
dass_stress,days_hospital,numeric,,0.1131439969649592,316
midas_result,gender,categorical,männlich,10.916455696202533,35
midas_result,gender,categorical,weiblich,-1.359700887427362,281
midas_result,birthyear,numeric,,-0.03919811803351533,316
midas_result,weight,numeric,,0.11475686960909164,316
midas_result,pregnant,categorical,nein,0.17435152947826893,277
midas_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-3.28085974003908,149
midas_result,highest_degree,categorical,Fachhochschulreife,12.087289029535867,48
midas_result,highest_degree,categorical,Hauptschulabschluss,-5.946702198534311,19
midas_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.5184758982227322,99
midas_result,family_status,categorical,geschieden,20.459312839059677,35
midas_result,family_status,categorical,ledig,1.2920654523000934,123
midas_result,family_status,categorical,verheiratet,-7.4553563843343795,149
midas_result,current_employed,categorical,ja,-3.6721374596910046,263
midas_result,current_employed,categorical,nein,18.222116073561025,53
midas_result,working_hours_model,categorical,Teilzeit,-0.693577386742124,129
midas_result,working_hours_model,categorical,Vollzeit,0.6676976335054761,134
midas_result,shiftwork,categorical,ja,19.165063744128833,17
midas_result,shiftwork,categorical,nein,-1.3244149741877642,246
midas_result,working_hours_reduced,categorical,False,-6.36938501176207,226
